case_id,slot,application,cpu,compute,secondary,memory,units,preprocessing,target,host_required,accel_required,concurrent,effective_bw,headroom,adequacy,stability,critical_overlap
StablePASS-001,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR5,1,cpu_only,20,0.115,8.821,8.936,36.864,27.928,PASS,Stable PASS,
dual-001,dual,drone,cortex_a53_x4,npu_16x16,npu_32x32,LPDDR5,1,cpu_only,20,0.115,8.821,8.936,35.679,26.743,PASS,Stable PASS,
dual-002,dual,drone,cortex_a53_x4,npu_16x16,npu_64x64,LPDDR5,1,cpu_only,20,0.115,8.821,8.936,36.518,27.583,PASS,Stable PASS,
StablePASS-002,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR5,1,isp_assisted,20,0.0,8.821,8.821,36.864,28.043,PASS,Stable PASS,
dual-003,dual,drone,cortex_a53_x4,npu_16x16,npu_32x32,LPDDR5,1,isp_assisted,20,0.0,8.821,8.821,35.679,26.858,PASS,Stable PASS,
dual-004,dual,drone,cortex_a53_x4,npu_16x16,npu_64x64,LPDDR5,1,isp_assisted,20,0.0,8.821,8.821,36.518,27.697,PASS,Stable PASS,
StablePASS-003,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR5,1,isp_and_npu,20,0.0,8.821,8.821,36.864,28.043,PASS,Stable PASS,
dual-005,dual,drone,cortex_a53_x4,npu_16x16,npu_32x32,LPDDR5,1,isp_and_npu,20,0.0,8.821,8.821,35.679,26.858,PASS,Stable PASS,
dual-006,dual,drone,cortex_a53_x4,npu_16x16,npu_64x64,LPDDR5,1,isp_and_npu,20,0.0,8.821,8.821,36.518,27.697,PASS,Stable PASS,
StablePASS-004,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR5,2,cpu_only,20,0.115,8.821,8.936,73.728,64.792,PASS,Stable PASS,
dual-007,dual,drone,cortex_a53_x4,npu_16x16,npu_32x32,LPDDR5,2,cpu_only,20,0.115,8.821,8.936,71.358,62.422,PASS,Stable PASS,
dual-008,dual,drone,cortex_a53_x4,npu_16x16,npu_64x64,LPDDR5,2,cpu_only,20,0.115,8.821,8.936,73.037,64.101,PASS,Stable PASS,
StablePASS-005,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR5,2,isp_assisted,20,0.0,8.821,8.821,73.728,64.907,PASS,Stable PASS,
dual-009,dual,drone,cortex_a53_x4,npu_16x16,npu_32x32,LPDDR5,2,isp_assisted,20,0.0,8.821,8.821,71.358,62.537,PASS,Stable PASS,
dual-010,dual,drone,cortex_a53_x4,npu_16x16,npu_64x64,LPDDR5,2,isp_assisted,20,0.0,8.821,8.821,73.037,64.216,PASS,Stable PASS,
StablePASS-006,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR5,2,isp_and_npu,20,0.0,8.821,8.821,73.728,64.907,PASS,Stable PASS,
dual-011,dual,drone,cortex_a53_x4,npu_16x16,npu_32x32,LPDDR5,2,isp_and_npu,20,0.0,8.821,8.821,71.358,62.536,PASS,Stable PASS,
dual-012,dual,drone,cortex_a53_x4,npu_16x16,npu_64x64,LPDDR5,2,isp_and_npu,20,0.0,8.821,8.821,73.037,64.215,PASS,Stable PASS,
StablePASS-007,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR5,4,cpu_only,20,0.115,8.821,8.936,147.456,138.52,PASS,Stable PASS,
dual-013,dual,drone,cortex_a53_x4,npu_16x16,npu_32x32,LPDDR5,4,cpu_only,20,0.115,8.821,8.936,142.716,133.78,PASS,Stable PASS,
dual-014,dual,drone,cortex_a53_x4,npu_16x16,npu_64x64,LPDDR5,4,cpu_only,20,0.115,8.821,8.936,146.074,137.138,PASS,Stable PASS,
StablePASS-008,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR5,4,isp_assisted,20,0.0,8.821,8.821,147.456,138.635,PASS,Stable PASS,
